# pressure (Pa) ,flow rate (m^3/s)
0.000000000000000000e+00,-1.000000000000000000e+00
1.000000000000000000e+00,4.827782782993346178e-01
2.000000000000000000e+00,6.059691979184636423e+00
3.000000000000000000e+00,9.042265345954877631e+00
4.000000000000000000e+00,1.593236003537719014e+01
5.000000000000000000e+00,2.956450925744185554e+01
6.000000000000000000e+00,5.286357534313913931e+01
7.000000000000000000e+00,5.152530119429515310e+01
8.000000000000000000e+00,8.695386643184392028e+01
9.000000000000000000e+00,9.197208650486687986e+01
1.000000000000000000e+01,1.166718851897956739e+02
