x,y
73,67
59,67
95,28
23,59
14,71
58,97
2,49
12,15
70,71
2,23
92,13
28,8
12,66
67,87
70,79
37,55
28,40
1,5
69,19
21,74
61,70
81,1
69,73
37,26
75,6
59,34
71,66
16,72
86,98
60,15
52,41
29,1
28,73
65,98
4,51
3,21
17,73
41,33
14,88
46,32
22,8
69,43
70,86
24,88
20,78
14,84
88,11
100,77
84,51
89,53
8,48
40,18
2,76
77,42
69,78
20,61
94,14
18,38
80,52
28,41
5,42
54,65
34,18
37,74
96,7
28,1
29,80
94,21
86,11
48,99
35,87
33,82
2,64
17,86
40,54
89,58
47,72
99,63
54,48
60,71
30,38
23,35
83,61
21,81
9,7
92,72
42,29
4,24
1,85
87,55
93,66
9,72
94,26
62,30
24,18
37,25
23,59
45,44
27,24
57,13
